Case	Project	pos. predictive value rate	true positive rate
MAPT	RSD 0.8 1e-5 Deluca	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	metaPhOrs incomplete	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	orthoinspector 1.30 (blast threshold 10-9)	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	phylomeDB	0.75 +- 0.424352	0.6667 +- 0.435556
MAPT	Ensembl Compara (e81)	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	Hieranoid 2	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	InParanoid	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	InParanoidCore	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	OMA GETHOGs	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	OMA Groups (RefSet5)	0.75 +- 0.424352	0.6667 +- 0.435556
MAPT	PANTHER 8.0 (LDO only)	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	OMA Pairs (Refset5)	0.7778 +- 0.384124	0.7778 +- 0.384124
NOX	EggNOG	0.995 +- 0.00967891	0.704 +- 0.0529508
NOX	PANTHER 8.0 (all)	0.8173 +- 0.0425035	0.9089 +- 0.0333736
NOX	RBH / BBH	0.9895 +- 0.0167567	0.4939 +- 0.0579951
NOX	RSD 0.8 1e-5 Deluca	0.9897 +- 0.0164694	0.5026 +- 0.0579985
NOX	metaPhOrs incomplete	0.9964 +- 0.00708859	0.9632 +- 0.0218327
NOX	orthoinspector 1.30 (blast threshold 10-9)	0.9427 +- 0.029123	0.8074 +- 0.045747
NOX	phylomeDB	0.9962 +- 0.0074953	0.9107 +- 0.0330828
NOX	Ensembl Compara (e81)	0.8711 +- 0.0497253	0.5324 +- 0.0578774
NOX	Hieranoid 2	0.8692 +- 0.0401025	0.8266 +- 0.0439141
NOX	InParanoid	0.9387 +- 0.0329117	0.6708 +- 0.0545123
NOX	InParanoidCore	0.9921 +- 0.0154937	0.4378 +- 0.0575493
NOX	OMA GETHOGs	0.8662 +- 0.0385861	0.9072 +- 0.0336607
NOX	OMA Groups (RefSet5)	0.9919 +- 0.015806	0.4291 +- 0.0574129
NOX	PANTHER 8.0 (LDO only)	0.8992 +- 0.0519485	0.4063 +- 0.056972
NOX	OMA Pairs (Refset5)	0.9669 +- 0.0241096	0.7163 +- 0.052292
